id;surcharge_amount;purchased_amount;paid_amount;discount_percentage;discount_amount;creation_date
1;48469;32217;74058;74141;74309;2020-11-26
2;76865;66933;34818;96959;63528;2020-11-26
3;57039;67263;6249;69947;20742;2020-11-27
4;26312;92349;77186;49140;50210;2020-11-27
5;39702;48734;77913;49948;96360;2020-11-26
6;80077;29939;17935;87953;61371;2020-11-27
7;67206;1403;87119;47168;59476;2020-11-27
8;3682;37759;40818;60230;89808;2020-11-26
9;70320;61533;47723;55341;81431;2020-11-27
10;12661;41371;74641;14645;14754;2020-11-27
